

GENERATION: 322| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 323| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 324| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 325| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 326| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 327| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 328| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 329| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 330| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 331| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 332| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 333| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 334| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 335| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 336| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 337| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 338| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 339| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 340| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 341| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 342| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 343| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 344| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 345| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 346| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 347| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 348| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 349| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 350| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 351| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 352| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 353| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 354| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 355| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 356| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 357| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 358| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 359| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 360| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 361| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 362| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 363| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 364| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 365| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 366| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 367| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 368| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 369| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 370| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 371| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 372| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 373| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 374| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 375| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 376| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 377| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 378| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 379| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 380| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 381| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 382| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 383| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 384| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 385| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 386| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 387| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 388| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 389| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 390| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 391| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 392| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 393| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 394| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 395| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 396| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 397| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 398| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 399| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 400| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 401| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 402| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 403| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 404| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 405| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 406| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 407| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 408| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 409| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 410| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 411| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 412| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 413| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 414| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 415| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 416| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 417| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 418| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 419| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 420| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 421| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 422| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 423| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 424| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 425| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 426| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 427| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 428| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 429| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 430| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 431| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 432| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 433| FITNESS: -0.13636363636363635| NR: 7

